"country","code","year","child_mortality","mean_schooling"
Afghanistan,AFG,2010,9.0027,2.007349
Albania,ALB,2010,1.5518,10.66144
Algeria,DZA,2010,3.1465,7.103952
Argentina,ARG,2010,1.5219,10.15166
Armenia,ARM,2010,1.9653,11.0591
Australia,AUS,2010,0.4761,11.95779
Austria,AUT,2010,0.4225,10.05477
Bahrain,BHR,2010,0.9553,7.814315
Bangladesh,BGD,2010,4.7499,6.188976
Barbados,BRB,2010,1.4565,10.16706
Belgium,BEL,2010,0.4496,11.65948
Belize,BLZ,2010,1.8767,11.40655
Benin,BEN,2010,11.1237,3.266152
Bolivia,BOL,2010,6.1525,8.529408
Botswana,BWA,2010,5.1791,10.1605
Brazil,BRA,2010,2.0952,8.885223
Brunei,BRN,2010,1.0778,8.980621
Bulgaria,BGR,2010,1.0604,11.13841
Burundi,BDI,2010,9.3901,2.877633
Cambodia,KHM,2010,4.2526,4.202942
Cameroon,CMR,2010,11.2207,6.248414
Canada,CAN,2010,0.5569,12.99251
Central African Republic,CAF,2010,15.2413,3.074577
Chile,CHL,2010,0.8882,10.73611
China,CHN,2010,1.706,8.383776
Colombia,COL,2010,1.83,9.788342
Congo,COG,2010,6.4945,6.010641
Costa Rica,CRI,2010,1.1899,8.743934
Cote d'Ivoire,CIV,2010,10.9618,4.00035
Croatia,HRV,2010,0.5889,12.01641
Cuba,CUB,2010,0.625,11.58187
Cyprus,CYP,2010,0.5027,12.28253
Czechia,CZE,2010,0.3412,12.52709
Democratic Republic of Congo,COD,2010,12.3595,2.898664
Denmark,DNK,2010,0.42,11.93674
Dominican Republic,DOM,2010,3.1403,8.917242
Ecuador,ECU,2010,2.075,8.482984
Egypt,EGY,2010,2.6789,7.258957
El Salvador,SLV,2010,2.2806,8.304948
Estonia,EST,2010,0.5026,12.42012
Eswatini,SWZ,2010,9.0838,4.908533
Fiji,FJI,2010,2.3972,10.87798
Finland,FIN,2010,0.302,11.19973
France,FRA,2010,0.4314,11.79715
Gabon,GAB,2010,6.42,9.809809
Gambia,GMB,2010,8.05,3.232567
Germany,DEU,2010,0.4187,12.24965
Ghana,GHA,2010,7.4082,6.885495
Greece,GRC,2010,0.3961,11.94519
Guatemala,GTM,2010,3.5378,4.853743
Guyana,GUY,2010,3.9516,9.644536
Haiti,HTI,2010,9.2805,4.320821
Honduras,HND,2010,2.9714,6.769185
Hong Kong,HKG,2010,0.2736,12.99512
Hungary,HUN,2010,0.6158,11.95175
Iceland,ISL,2010,0.2567,12.39173
India,IND,2010,5.6533,5.560464
Indonesia,IDN,2010,3.3221,8.092866
Iran,IRN,2010,1.9721,9.051446
Iraq,IRQ,2010,3.6999,6.675963
Ireland,IRL,2010,0.4168,12.68353
Israel,ISR,2010,0.4587,12.73561
Italy,ITA,2010,0.378,11.35855
Jamaica,JAM,2010,1.8529,11.00654
Japan,JPN,2010,0.3253,12.94536
Jordan,JOR,2010,2.1243,9.895662
Kazakhstan,KAZ,2010,2.1979,11.59845
Kenya,KEN,2010,6.3612,6.27312
Kuwait,KWT,2010,1.0428,7.008118
Kyrgyzstan,KGZ,2010,2.8425,11.08704
Laos,LAO,2010,6.8125,4.839315
Latvia,LVA,2010,0.8038,11.4121
Lesotho,LSO,2010,10.6562,7.05163
Liberia,LBR,2010,9.4292,3.166952
Libya,LBY,2010,1.841,9.807397
Lithuania,LTU,2010,0.622,11.73998
Luxembourg,LUX,2010,0.3458,11.32367
Macao,MAC,2010,0.4575,9.556791
Malawi,MWI,2010,8.6946,4.452305
Malaysia,MYS,2010,0.8265,11.37797
Maldives,MDV,2010,1.2858,6.004479
Mali,MLI,2010,13.6933,2.103305
Malta,MLT,2010,0.6354,12.07201
Mauritania,MRT,2010,9.924,3.932477
Mauritius,MUS,2010,1.4717,10.12582
Mexico,MEX,2010,1.852,9.425871
Moldova,MDA,2010,1.7706,10.84294
Mongolia,MNG,2010,3.199,9.94311
Morocco,MAR,2010,3.0143,4.79899
Mozambique,MOZ,2010,10.2338,1.404152
Myanmar,MMR,2010,6.2364,5.653324
Namibia,NAM,2010,5.4915,7.001972
Nepal,NPL,2010,4.6981,3.751684
Netherlands,NLD,2010,0.4538,11.86591
New Zealand,NZL,2010,0.5714,11.74198
Nicaragua,NIC,2010,2.4418,7.241257
Niger,NER,2010,12.5402,1.292325
Norway,NOR,2010,0.3279,11.51435
Pakistan,PAK,2010,8.9461,3.871628
Panama,PAN,2010,2.1536,10.28487
Papua New Guinea,PNG,2010,6.654,3.902619
Paraguay,PRY,2010,2.6349,8.195255
Peru,PER,2010,2.0114,9.211321
Philippines,PHL,2010,3.1343,9.135327
Poland,POL,2010,0.5837,12.08951
Portugal,PRT,2010,0.3771,9.769664
Qatar,QAT,2010,0.9068,9.799339
Reunion,REU,2010,0.5623,9.27276
Romania,ROU,2010,1.1728,11.16327
Russia,RUS,2010,1.1451,12.16677
Rwanda,RWA,2010,6.7284,4.222264
Saudi Arabia,SAU,2010,1.2006,8.826057
Senegal,SEN,2010,6.4222,2.459123
Serbia,SRB,2010,0.7441,11.52192
Sierra Leone,SLE,2010,15.7465,3.365475
Singapore,SGP,2010,0.2655,12.98126
Slovakia,SVK,2010,0.7003,12.78731
Slovenia,SVN,2010,0.3373,12.19449
South Africa,ZAF,2010,5.5016,10.27425
South Korea,KOR,2010,0.4067,13.62439
Spain,ESP,2010,0.3785,11.26946
Sri Lanka,LKA,2010,1.0867,11.14827
Sudan,SDN,2010,7.64,3.333889
Sweden,SWE,2010,0.3051,12.08298
Switzerland,CHE,2010,0.4623,12.65844
Syria,SYR,2010,1.8947,6.618928
Taiwan,TWN,2010,0.5859,12.81406
Tajikistan,TJK,2010,4.1849,10.87942
Tanzania,TZA,2010,7.1716,5.70303
Thailand,THA,2010,1.3559,9.449305
Togo,TGO,2010,8.9833,4.503073
Tonga,TON,2010,1.7092,11.52373
Trinidad and Tobago,TTO,2010,3.1239,11.38195
Tunisia,TUN,2010,1.716,7.97294
Turkey,TUR,2010,1.9675,7.127374
Uganda,UGA,2010,9.3025,5.288293
Ukraine,UKR,2010,1.2652,11.57077
United Arab Emirates,ARE,2010,0.8254,10.23583
United Kingdom,GBR,2010,0.5175,12.77681
United States,USA,2010,0.7432,13.31037
Uruguay,URY,2010,1.2448,9.123509
Venezuela,VEN,2010,1.6136,9.50528
Vietnam,VNM,2010,2.2737,7.354842
Yemen,YEM,2010,5.7979,2.407121
Zambia,ZMB,2010,8.2173,6.887143
Zimbabwe,ZWE,2010,8.4808,7.711895
